,real_chi2_stat,real_p_value,real_effect_size,empirical_p_value,mean_random_effect_size,n,svara
72,1.7931034482758614,0.9999999999999998,0.22964828915974078,0.0,0.6316542011376218,3.0,d
73,1.6897479814044527,0.9999999999999986,0.22979256824120564,0.0,0.6275927496008801,3.0,d
74,,,,,,,d
75,0.9078238834336394,0.9696526311076938,0.42610418524901617,0.016,0.580064894197544,3.0,r
76,0.6902637609087805,0.9946987789489544,0.33918130867054486,0.131,0.5445114096695566,4.0,r
77,1.5989974937343359,0.9999934060134311,0.3264962984715484,0.0,0.5457246691275136,4.0,r
78,1.3306390977443612,0.9997888040133062,0.3478033793740838,0.0,0.6223582908957955,3.0,r
79,0.8495238095238092,0.9999189755559461,0.29146591730832083,0.0,0.5449200347126529,4.0,r
80,,,,,,,r
81,1.506641366223909,0.9999858186759932,0.32805066749599054,0.0,0.6282192950834569,3.0,r
